Test,Sensor,Distance (inches),Angle (degrees)
30,4,14.940944881889763,134.58
31,1,12.775590551181102,222.58999999999997
31,2,12.854330708661417,322.3
31,3,14.350393700787402,50.74000000000001
31,4,14.862204724409448,134.15
32,1,12.736220472440944,222.7
32,2,12.5,322.62
32,3,14.665354330708661,49.920000000000016
32,4,14.98031496062992,134.24
33,1,12.736220472440944,222.45999999999998
33,2,12.736220472440944,323.64
33,3,14.547244094488189,45.69
33,4,14.862204724409448,134.17
34,1,12.775590551181102,222.57
34,2,12.81496062992126,322.45
34,3,14.625984251968504,49.74000000000001
34,4,14.901574803149606,134.0
35,1,12.775590551181102,222.56
35,2,12.578740157480315,322.68
35,3,14.547244094488189,50.64999999999998
35,4,14.862204724409448,134.46
36,1,12.696850393700787,222.57999999999998
36,2,12.775590551181102,322.32
36,3,14.586614173228346,49.629999999999995
36,4,14.862204724409448,135.27
37,1,12.578740157480315,222.56
37,2,12.578740157480315,322.65
37,3,14.547244094488189,49.68000000000001
37,4,14.665354330708661,134.37
38,1,12.65748031496063,222.82999999999998
38,2,12.736220472440944,320.77
38,3,14.429133858267717,49.85000000000002
38,4,14.862204724409448,133.39
39,1,12.736220472440944,222.52999999999997
39,2,12.696850393700787,322.65999999999997
39,3,14.586614173228346,49.620000000000005
39,4,14.901574803149606,133.51
40,1,12.775590551181102,222.57
40,2,12.775590551181102,322.51
40,3,14.586614173228346,49.76999999999998
40,4,14.940944881889763,133.83
41,1,12.696850393700787,222.57
41,2,12.65748031496063,321.25
41,3,14.586614173228346,49.64999999999998
41,4,14.862204724409448,134.28
42,1,12.775590551181102,222.51999999999998
42,2,12.5,320.53999999999996
42,3,14.586614173228346,49.74000000000001
42,4,14.271653543307087,135.52
43,1,12.736220472440944,222.45999999999998
43,2,12.81496062992126,323.65
43,3,14.586614173228346,49.75999999999999
43,4,14.940944881889763,134.15
44,1,12.65748031496063,222.45999999999998
44,2,12.775590551181102,320.78
44,3,14.625984251968504,49.75
44,4,14.940944881889763,133.9
45,1,12.696850393700787,222.57999999999998
45,2,12.460629921259843,322.55
45,3,14.665354330708661,49.68000000000001
45,4,14.862204724409448,134.38
46,1,12.696850393700787,222.45
46,2,12.81496062992126,321.35
46,3,14.586614173228346,49.64999999999998
46,4,14.862204724409448,133.83
47,1,12.696850393700787,222.55
47,2,12.696850393700787,322.6
47,3,14.665354330708661,49.75999999999999
47,4,14.901574803149606,134.0
48,1,12.618110236220472,222.41000000000003
48,2,12.618110236220472,321.24
48,3,14.665354330708661,48.54000000000002
48,4,14.38976377952756,135.5
49,1,12.65748031496063,222.41000000000003
49,2,12.736220472440944,322.51
49,3,14.625984251968504,49.80000000000001
49,4,14.862204724409448,135.33
50,1,12.65748031496063,222.24
50,2,12.5,322.43
50,3,14.625984251968504,48.370000000000005
50,4,14.862204724409448,134.44
51,1,12.696850393700787,222.56
51,2,12.618110236220472,322.64
51,3,14.429133858267717,49.889999999999986
51,4,14.625984251968504,135.5
52,1,12.618110236220472,222.52999999999997
52,2,12.421259842519685,317.35
52,3,14.704724409448819,49.660000000000025
52,4,14.783464566929133,133.63
53,1,12.618110236220472,223.01
53,2,12.736220472440944,320.56
53,3,14.586614173228346,49.629999999999995
53,4,14.901574803149606,134.38
54,1,12.775590551181102,222.56
54,2,12.539370078740157,323.86
54,3,14.625984251968504,49.70999999999998
54,4,14.901574803149606,133.53
55,1,12.65748031496063,222.55
55,2,12.5,322.45
55,3,14.23228346456693,50.79000000000002
55,4,14.901574803149606,133.52
56,1,12.696850393700787,222.54000000000002
56,2,12.81496062992126,322.35
56,3,14.625984251968504,48.54000000000002
56,4,14.862204724409448,135.33
57,1,12.775590551181102,222.57
57,2,12.775590551181102,321.34000000000003
57,3,14.547244094488189,48.27999999999997
57,4,14.862204724409448,133.65
58,1,12.736220472440944,222.56
58,2,12.736220472440944,320.45
58,3,14.507874015748031,50.879999999999995
58,4,14.940944881889763,134.32
59,1,12.696850393700787,222.68
59,2,12.854330708661417,322.40999999999997
59,3,14.468503937007874,47.68000000000001
59,4,14.901574803149606,133.95
60,1,12.81496062992126,222.69
60,2,12.578740157480315,320.19
60,3,14.586614173228346,48.22000000000003
60,4,14.901574803149606,134.61
61,1,12.736220472440944,222.49
61,2,12.775590551181102,322.53999999999996
61,3,14.547244094488189,48.54000000000002
61,4,14.901574803149606,134.35
62,1,12.696850393700787,222.54000000000002
62,2,12.65748031496063,322.46000000000004
62,3,14.547244094488189,49.670000000000016
62,4,14.901574803149606,133.47
63,1,12.696850393700787,222.55
63,2,12.736220472440944,322.59000000000003
63,3,14.586614173228346,49.75999999999999
63,4,14.665354330708661,134.24
64,1,12.696850393700787,222.48000000000002
64,2,12.81496062992126,322.3
64,3,14.625984251968504,45.75
64,4,14.901574803149606,134.52
65,1,12.81496062992126,222.64999999999998
65,2,12.775590551181102,322.4
65,3,14.271653543307087,50.879999999999995
65,4,14.82283464566929,134.33
66,1,12.736220472440944,222.57999999999998
66,2,12.65748031496063,322.3
66,3,14.625984251968504,49.76999999999998
66,4,14.82283464566929,134.04
67,1,12.618110236220472,222.55
67,2,12.618110236220472,322.65999999999997
67,3,14.625984251968504,49.81999999999999
67,4,14.940944881889763,134.58
68,1,12.696850393700787,222.54000000000002
68,2,12.736220472440944,322.37
68,3,14.665354330708661,48.14999999999998
68,4,14.862204724409448,134.42
69,1,12.775590551181102,222.51999999999998
69,2,12.696850393700787,323.86
69,3,13.917322834645669,50.73000000000002
69,4,14.862204724409448,134.24
70,1,12.775590551181102,222.54000000000002
70,2,12.578740157480315,322.62
70,3,14.547244094488189,50.69999999999999
70,4,14.901574803149606,133.67
71,1,12.696850393700787,222.48000000000002
71,2,12.145669291338583,317.38
71,3,14.665354330708661,50.72000000000003
71,4,14.901574803149606,133.4
72,1,12.578740157480315,217.95
72,2,12.539370078740157,322.51
72,3,14.665354330708661,48.870000000000005
72,4,14.38976377952756,135.45
